ID;Código da Disciplina;Disciplinas;Professor;Turma;Turno;Qtd Alunos;CH Presencial (Hora Aula);CH EaD (Hora Aula);SEG;TER;QUA;QUI;SEX;SAB
104699;RV.ADM01;REDAçãO DE TEXTOS OFICIAIS;WILCIENE NUNES DO VALE;20181.02ADM112.1V;Tarde;55;3;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
104696;RV.ADM02;ÉTICA;MILTON BERNARDES FERREIRA;20181.02ADM112.1V;Tarde;55;3;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
104694;RV.ADM03;CENáRIOS ECONôMICOS E MERCADOS;HAIHANI SILVA PASSOS;20181.02ADM112.1V;Tarde;55;3;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
104700;RV.ADM04;SOCIOLOGIA APLICADA à ADMINISTRAçãO;ROBERTO EDUARDO CASTILLO PIZARRO;20181.02ADM112.1V;Tarde;55;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
104697;RV.ADM401;GESTãO EMPRESARIAL;LíDIA NUNES DE ÁVILA CARVALHAES;20181.02ADM112.1V;Tarde;55;4;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
104698;RV.EXA808;MATEMáTICA FINANCEIRA;KELEN HELENA DE OLIVEIRA;20181.02ADM112.1V;Tarde;55;4;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
104695;RV.HUM824;DIREITO;MáRCIA CRISTINA PUYDINGER DE FAZIO;20181.02ADM112.1V;Tarde;55;3;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99921;RV.ADM402;GESTãO DA QUALIDADE;MILTON BERNARDES FERREIRA,LUCIANA DE SOUSA SANTOS;20181.02ADM112.2V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99923;RV.ADM403;MARKETING;MILTON BERNARDES FERREIRA;20181.02ADM112.2V;Tarde;50;3;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99919;RV.ADM408;COOPERATIVISMO E ASSOCIATIVISMO;SAMANTHA REZENDE MENDES;20181.02ADM112.2V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99924;RV.ADM96;ORGANIZAçãO,SISTEMA E MéTODOS;RAFAEL PAZETO ALVARENGA;20181.02ADM112.2V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99918;RV.CON816;CONTABILIDADE BáSICA;RAQUEL MARIA PRADO,LUCINEIDO GOMES DE MORAES;20181.02ADM112.2V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99920;RV.EXA809;ESTATíSTICA BáSICA;IDALCI CRUVINEL DOS REIS;20181.02ADM112.2V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99928;RV.ADM404;COMéRCIO ELETRôNICO E AUTOMAçãO COMERCIAL;JOSé AURELIO VAZQUEZ RUBIO;20181.02ADM112.3V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99931;RV.ADM406;PLANEJAMENTO ESTRATéGICO;JERLIANE CRUVINEL MENEZES;20181.02ADM112.3V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99926;RV.ADM810;ADMINISTRAçãO FINANCEIRA;RAQUEL MARIA PRADO,LUCINEIDO GOMES DE MORAES;20181.02ADM112.3V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99929;RV.ADM824;EMPREENDEDORISMO;LUCIENE DE OLIVEIRA GUERRA;20181.02ADM112.3V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99925;RV.ADM97;ADMINISTRAçãO DE RECURSOS MATERIAIS E PATRIMONIAIS E LOGíSTICA;JERLIANE CRUVINEL MENEZES;20181.02ADM112.3V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99930;RV.SEC306;GESTãO DE PESSOAS;LíDIA NUNES DE ÁVILA CARVALHAES;20181.02ADM112.3V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
99927;TADMRV.1;ANáLISE DE CUSTO E FORMAçãO DE PREçOS;FABIO FERREIRA DA SILVA OLIVEIRA;20181.02ADM112.3V;Tarde;50;2;0;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
104692;RV.ADM01;REDAçãO DE TEXTOS OFICIAIS;WILCIENE NUNES DO VALE;20181.02ADM11N.1N;Noite;55;3;0;1-12;1-12;1-12;1-12;1-12;0
104689;RV.ADM02;ÉTICA;MILTON BERNARDES FERREIRA;20181.02ADM11N.1N;Noite;55;3;0;1-12;1-12;1-12;1-12;1-12;0
104687;RV.ADM03;CENáRIOS ECONôMICOS E MERCADOS;SAMANTHA REZENDE MENDES;20181.02ADM11N.1N;Noite;55;2;0;1-12;1-12;1-12;1-12;1-12;0
104693;RV.ADM04;SOCIOLOGIA APLICADA à ADMINISTRAçãO;ROBERTO EDUARDO CASTILLO PIZARRO;20181.02ADM11N.1N;Noite;55;2;0;1-12;1-12;1-12;1-12;1-12;0
104690;RV.ADM401;GESTãO EMPRESARIAL;JERLIANE CRUVINEL MENEZES;20181.02ADM11N.1N;Noite;55;3;0;1-12;1-12;1-12;1-12;1-12;0
