ID;Curso;Nome;Periodo ;Disciplinas;SEG;TER;QUA;QUI;SEX;SAB
20192.02ADI11N.1N;Técnico em Administração;Técnico em Administração (Primeiro Noturno);Noite;137689,137686,137684,137690,137687,137688,137685;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ADI11N.2N;Técnico em Administração;Técnico em Administração (Segundo Noturnno);Noite;132890,132891,132888,132892,132886,132887,132889;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ADM112.1V;Técnico em Administração;Técnico em Administração (Primeiro Periodo);Tarde;132678,132675,132673,132679,132676,132677,132674;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02ADM112.2V;Técnico em Administração;Técnico em Administração (Segundo Periodo);Tarde;133289,133290,133287,133291,133285,133286,133288;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02ADM112.3V;Técnico em Administração;Técnico em Administração (Terceiro Periodo);Tarde;132741,132744,132742,132745,132740,132743;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-6,13-16;1-16
20192.02ADM11N.1N;Técnico em Administração;Técnico em Administração (Primeiro Noturno);Noite;132685,132682,132680,132686,132683,132684,132681;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ADM11N.2N;Técnico em Administração;Técnico em Administração (Segundo Noturnno);Noite;133172,133173,133170,133174,133168,133169,133171;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ADM11N.3N;Técnico em Administração;Técnico em Administração (Terceiro Noturnno);Noite;132747,132750,132748,132751,132746,132749;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ADM12N.2N;PROEJA Adminstração;PROEJA Adminstração (Segundo Noturnno);Noite;132793,132790,132795,132796,132794,132792,132791;1-12;1-12;1-12;1-12;1-12;12-16
20192.02ADM12N.3N;PROEJA Adminstração;PROEJA Adminstração (Terceiro Noturnno);Noite;132798,132803,132797,132801,132800,132802;1-12;1-12;1-12;1-12;1-12;12-16
